"","X","tss","roc"
"1",1,"0.862",0.956444
"2",41,"LQHP",3.5
"3",3,"-80.343",-55.399
"4",4,"-88.39",-62.477
"5",5,"-45.198",3.46
"6",6,"-45.356",38.886
"7",7,"-73.625",-12.421
"8",8,"-74.019",13.65
"9",9,"-42.076",-26.916
"10",10,"-62.196",-44.173
"11",11,"-61.948",-39.563
"12",12,"-78.19",-47.599
"13",13,"-80.782",-71.979
"14",14,"-84.096",-67.155
"15",15,"-83.476",-74.087
"16",16,"-87.568",-63.537
"17",17,"-71.72",-55.23
"18",18,"-82.89",-64.856
"19",19,"-81.075",-57.879
"20",20,"-87.703",-58.07
