"","X","tss","roc"
"1",1,"0.991",0.995836363636364
"2",30,"LQHPT",2.5
"3",3,"-0.902",550.644
"4",4,"-0.129",1002.835
"5",5,"-0.129",287.113
"6",6,"-0.129",340.593
"7",7,"-0.129",382.474
"8",8,"-0.129",804.768
"9",9,"-0.129",206.443
"10",10,"-0.129",329.51
"11",11,"-0.129",384.149
"12",12,"-0.129",701.16
"13",13,"-14.562",172.68
"14",14,"-0.387",834.021
"15",15,"-2.062",446.778
"16",16,"-0.129",1043.428
"17",17,"0",391.624
"18",18,"-0.129",666.108
"19",19,"-0.129",752.577
"20",20,"-0.129",1311.727
