"","X","tss","roc"
"1",1,"0.733921052631579",0.906380263157895
"2",29,"LQHP",2.5
"3",3,"-0.93",60.865
"4",4,"-0.52",107.807
"5",5,"-0.23",35.227
"6",6,"-0.154",42.633
"7",7,"-0.29",54.296
"8",8,"-0.094",96.801
"9",9,"-0.094",27.506
"10",10,"-0.299",40.363
"11",11,"-0.273",42.164
"12",12,"-0.171",71.871
"13",13,"-3.421",33.931
"14",14,"-0.793",58.783
"15",15,"-0.512",48.204
"16",16,"-0.358",97.167
"17",17,"-0.427",38.973
"18",18,"-0.469",65.25
"19",19,"-0.555",66.18
"20",20,"-0.358",141.575
