"","X","tss","roc"
"1",1,"0.810693617021277",0.945363563829787
"2",46,"LQH",4
"3",3,"-1.525",53.292
"4",4,"-2.033",81.227
"5",5,"-2.566",15.783
"6",6,"-3.462",26.991
"7",7,"-7.468",29.279
"8",8,"-4.031",52.699
"9",9,"-1.041",22.876
"10",10,"-1.162",29.424
"11",11,"-1.307",31.252
"12",12,"-2.384",47.083
"13",13,"-6.972",25.89
"14",14,"-10.7",43.525
"15",15,"-4.369",32.752
"16",16,"-8.545",60.397
"17",17,"-1.259",36.904
"18",18,"-2.288",54.866
"19",19,"-2.457",48.644
"20",20,"-4.406",87.279
