"","X","tss","roc"
"1",1,"0.7728",0.9455
"2",28,"LQH",2.5
"3",3,"-23.383",1.59
"4",4,"-52.401",-29.127
"5",5,"-15.819",7.016
"6",6,"-27.757",-3.76
"7",7,"-32.021",-5.032
"8",8,"-47.402",-14.986
"9",9,"-14.909",-0.987
"10",10,"-24.085",-8.934
"11",11,"-26.189",-13.407
"12",12,"-41.69",-27.79
"13",13,"-29.632",-14.35
"14",14,"-30.026",-5.722
"15",15,"-24.359",3.519
"16",16,"-51.743",-29.193
"17",17,"-23.504",1.94
"18",18,"-23.065",3.618
"19",19,"-27.176",-0.34
"20",20,"-52.971",-29.763
