"","X","tss","roc"
"1",1,"0.695959322033898",0.930579661016949
"2",8,"LQ",1
"3",3,"-7.25",132.408
"4",4,"-8.3",176.865
"5",5,"-4.874",86.688
"6",6,"-9.241",95.86
"7",7,"-11.29",82.193
"8",81,"-5.91",170.537
"9",9,"-8.869",33.078
"10",10,"-13.388",46.125
"11",11,"-14.551",46.681
"12",12,"-11.877",119.317
"13",13,"-21.953",38.331
"14",14,"-4.551",156.113
"15",15,"-13.748",79.298
"16",16,"-10.777",146.075
"17",17,"-9.766",62.554
"18",18,"-4.355",136.29
"19",19,"-5.777",134.855
"20",20,"-5.948",204.014
