"","X","tss","roc"
"1",1,"0.826351948051948",0.972458441558442
"2",46,"LQH",4
"3",3,"-59.106",-58.112
"4",4,"-76.176",-75.568
"5",5,"-41.456",-39.045
"6",6,"-53.253",-51.725
"7",7,"-55.406",-53.906
"8",8,"-70.378",-69.43
"9",9,"-26.235",-23.364
"10",10,"-42.956",-40.296
"11",11,"-41.373",-38.741
"12",12,"-57.118",-55.71
"13",13,"-34.499",-31.655
"14",14,"-71.51",-70.838
"15",15,"-61.848",-59.897
"16",16,"-75.228",-74.077
"17",17,"-54.541",-53.198
"18",18,"-73.498",-72.927
"19",19,"-73.295",-72.412
"20",20,"-81.817",-80.998
