"","X","tss","roc"
"1",1,"0.810862962962963",0.94999537037037
"2",14,"LQ",1.5
"3",3,"-2.026",7.432
"4",4,"-2.79",8.139
"5",5,"-2.912",6.949
"6",6,"-1.024",14.49
"7",7,"-2.804",11.116
"8",8,"-4.008",13.682
"9",9,"-1.052",6.214
"10",10,"-2.155",5.904
"11",11,"-1.845",5.817
"12",12,"-2.379",8.485
"13",13,"-4.304",6.077
"14",141,"-1.442",10.936
"15",15,"-1.572",12.003
"16",16,"-3.302",9.27
"17",17,"-3.013",7.411
"18",18,"-1.052",15.852
"19",19,"-0.743",17.669
"20",20,"-1.889",17.344
