"","X","tss","roc"
"1",1,"0.747884210526316",0.930398684210526
"2",14,"LQ",1.5
"3",3,"-16.229",-10.949
"4",4,"-21.686",-14.762
"5",5,"-13.227",-3.779
"6",6,"-17.528",-10.068
"7",7,"-16.829",-9.896
"8",8,"-19.752",-9.974
"9",9,"-11.047",-4.827
"10",10,"-16.524",-12.218
"11",11,"-15.092",-8.562
"12",12,"-19.614",-14.157
"13",13,"-18.168",-13.493
"14",141,"-20.052",-15.166
"15",15,"-19.447",-13.488
"16",16,"-18.123",-10.845
"17",17,"-19.339",-15.653
"18",18,"-18.551",-14.802
"19",19,"-20.116",-14.964
"20",20,"-24.988",-19.511
