"","X","tss","roc"
"1",1,"0.531793617021277",0.837543262411347
"2",40,"LQH",3.5
"3",3,"-15.647",-13.937
"4",4,"-35.254",-33.463
"5",5,"-7.065",-5.17
"6",6,"-13.021",-11.681
"7",7,"-12.002",-10.225
"8",8,"-23.12",-21.332
"9",9,"-5.644",-3.946
"10",10,"-9.832",-8.056
"11",11,"-9.278",-7.363
"12",12,"-22.132",-20.404
"13",13,"-10.26",-8.267
"14",14,"-19.333",-16.93
"15",15,"-12.923",-9.78
"16",16,"-26.993",-25.165
"17",17,"-11.089",-9.503
"18",18,"-17.499",-15.202
"19",19,"-19.61",-17.198
"20",20,"-37.123",-35.225
