"","X","tss","roc"
"1",1,"0.800331914893617",0.966510638297872
"2",27,"H",2.5
"3",3,"-21.49",-14.311
"4",4,"-30.215",-22.293
"5",5,"-14.83",-9.593
"6",6,"-15.764",-8.541
"7",7,"-19.514",-12.276
"8",8,"-24.979",-17.325
"9",9,"-13.512",-10.624
"10",10,"-14.705",-10.109
"11",11,"-20.651",-17.089
"12",12,"-21.972",-16.35
"13",13,"-20.677",-11.168
"14",14,"-29.814",-23.128
"15",15,"-26.443",-19.588
"16",16,"-31.5",-23.496
"17",17,"-22.672",-17.295
"18",18,"-26.631",-19.948
"19",19,"-30.175",-24.637
"20",20,"-35.72",-26.675
