"","X","tss","roc"
"1",1,"0.640858974358974",0.910834615384615
"2",29,"LQHP",2.5
"3",3,"-1.238",46.352
"4",4,"-1.326",63.248
"5",5,"-1.461",27.778
"6",6,"-2.835",34.151
"7",7,"-2.946",34.33
"8",8,"-2.32",45.625
"9",9,"-1.12",21.584
"10",10,"-1.356",30.646
"11",11,"-0.886",34.53
"12",12,"-1.698",47.773
"13",13,"-2.354",30.45
"14",14,"-2.314",52.312
"15",15,"-1.478",43.747
"16",16,"-0.947",63.353
"17",17,"-2.104",37.307
"18",18,"-3.335",48.513
"19",19,"-2.737",53.506
"20",20,"-1.37",68.116
