"","X","tss","roc"
"1",1,"0.879304109589041",0.981160787671233
"2",30,"LQHPT",2.5
"3",3,"-38.477",-34.181
"4",4,"-49.461",-45.137
"5",5,"-22.52",-14.811
"6",6,"-32.481",-27.95
"7",7,"-33.379",-29.166
"8",8,"-43.12",-39.389
"9",9,"-23.017",-17.629
"10",10,"-32.827",-29.511
"11",11,"-33.587",-29.221
"12",12,"-44.004",-39.527
"13",13,"-27.508",-18.983
"14",14,"-44.529",-41.227
"15",15,"-42.429",-36.101
"16",16,"-46.712",-41.586
"17",17,"-29.801",-24.883
"18",18,"-39.79",-36.35
"19",19,"-43.064",-39.348
"20",20,"-48.549",-43.935
