"","X","tss","roc"
"1",1,"0.9784",0.998054411764706
"2",24,"LQHPT",2
"3",3,"-19.738",-7.588
"4",4,"-31.182",-17.141
"5",5,"-14.873",-6.327
"6",6,"-11.167",4.033
"7",7,"-9.604",1.689
"8",8,"-16.713",-0.302
"9",9,"-7.663",-4.84
"10",10,"-10.461",-5.697
"11",11,"-8.268",-3.983
"12",12,"-10.184",-3.706
"13",13,"-30.224",-17.167
"14",14,"-21.679",-9.907
"15",15,"-32.619",-19.41
"16",16,"-33.401",-18.982
"17",17,"-24.603",-15.024
"18",18,"-28.283",-18.351
"19",19,"-31.409",-21.906
"20",20,"-41.265",-32.065
