"","X","tss","roc"
"1",1,"0.9662",0.994692
"2",36,"LQHPT",3
"3",3,"-17.794",-4.969
"4",4,"-22.661",-3.347
"5",5,"-10.946",-3.552
"6",6,"-9.648",1.503
"7",7,"-10.997",-0.085
"8",8,"-12.193",2.339
"9",9,"-7.326",-3.245
"10",10,"-10.57",-4.935
"11",11,"-9.939",-4.764
"12",12,"-11.766",-4.713
"13",13,"-9.426",8.214
"14",14,"-18.887",-1.554
"15",15,"-16.94",-3.142
"16",16,"-23.327",2.681
"17",17,"-17.128",-6.506
"18",18,"-20.406",-8.385
"19",19,"-22.865",-13.064
"20",20,"-27.869",-12.739
