"","X","tss","roc"
"1",1,"0.822064864864865",0.962264864864865
"2",46,"LQH",4
"3",3,"-0.295",20.306
"4",4,"-0.175",39.718
"5",5,"-0.212",11.17
"6",6,"-0.249",15.563
"7",7,"-0.276",16.871
"8",8,"-0.184",21.973
"9",9,"-0.212",7.874
"10",10,"-0.285",13.021
"11",11,"-0.193",12.764
"12",12,"-0.092",27.498
"13",13,"-1.096",11.088
"14",14,"-0.258",24.275
"15",15,"-0.378",17.838
"16",16,"-0.193",41.68
"17",17,"-0.433",15.296
"18",18,"-0.258",24.689
"19",19,"-0.359",24.551
"20",20,"-0.147",57.427
