"","X","tss","roc"
"1",1,"0.57046265060241",0.862386746987952
"2",40,"LQH",3.5
"3",3,"-26.561",-20.606
"4",4,"-40.4",-35.757
"5",5,"-16.087",-11.666
"6",6,"-21.896",-17.431
"7",7,"-22.635",-18.38
"8",8,"-38.805",-36.068
"9",9,"-13.82",-9.44
"10",10,"-24.214",-21.253
"11",11,"-28.023",-25.384
"12",12,"-39.131",-36.077
"13",13,"-15.183",-7.674
"14",14,"-24.329",-17.051
"15",15,"-25.927",-21.259
"16",16,"-36.987",-33.103
"17",17,"-19.952",-13.953
"18",18,"-26.187",-20.377
"19",19,"-26.726",-20.041
"20",20,"-41.303",-36.816
