"","X","tss","roc"
"1",1,"0.79816213592233",0.957656893203883
"2",36,"LQHPT",3
"3",3,"-18.226",3.751
"4",4,"-22.211",5.098
"5",5,"-14.088",11.193
"6",6,"-22.211",-2.789
"7",7,"-19.351",2.309
"8",8,"-21.695",8.568
"9",9,"-16.725",-0.188
"10",10,"-25.797",-7.982
"11",11,"-27.145",-5.227
"12",12,"-31.446",-2.602
"13",13,"-17.886",0.07
"14",14,"-24.203",-8.404
"15",15,"-17.604",4.149
"16",16,"-20.312",7.443
"17",17,"-16.35",3.633
"18",18,"-19.058",2.11
"19",19,"-20.23",0.398
"20",20,"-22.949",4.548
