"","X","tss","roc"
"1",1,"0.732007692307692",0.932376923076923
"2",27,"H",2.5
"3",3,"-8.647",25.642
"4",4,"-7.51",37.783
"5",5,"-9.226",8.612
"6",6,"-15.708",1.527
"7",7,"-21.117",-2.48
"8",8,"-26.705",-1.237
"9",9,"-8.004",10.903
"10",10,"-14.979",4.69
"11",11,"-10.918",13.432
"12",12,"-7.979",28.132
"13",13,"-42.333",-33.841
"14",14,"-15.867",19.789
"15",15,"-27.479",-10.538
"16",16,"-26.062",0.948
"17",17,"-10.938",17.684
"18",18,"-14.515",20.149
"19",19,"-14.311",26.975
"20",20,"-15.249",34.529
