"","X","tss","roc"
"1",1,"0.835054838709677",0.97259435483871
"2",35,"LQHP",3
"3",3,"-0.179",82.098
"4",4,"-1.665",124.654
"5",5,"-1.212",35.189
"6",6,"-0.751",45.954
"7",7,"-1.852",49.129
"8",8,"-0.726",69.498
"9",9,"-3.116",25.508
"10",10,"-0.743",38.68
"11",11,"-1.562",37.22
"12",12,"-2.74",67.85
"13",13,"-1.998",30.118
"14",14,"-0.615",76.524
"15",15,"-1.622",49.616
"16",16,"-1.639",96.594
"17",17,"-0.179",52.655
"18",18,"-0.982",79.145
"19",19,"-0.82",76.353
"20",20,"-1.281",129.076
