"","X","tss","roc"
"1",1,"0.784096296296296",0.94859962962963
"2",46,"LQH",4
"3",3,"-53.37",-52.731
"4",4,"-63.892",-63.252
"5",5,"-35.478",-34.533
"6",6,"-51.117",-49.761
"7",7,"-46.362",-44.539
"8",8,"-63.825",-63.252
"9",9,"-29.712",-28.948
"10",10,"-40.328",-39.488
"11",11,"-44.902",-44.119
"12",12,"-58.106",-57.504
"13",13,"-45.981",-43.575
"14",14,"-54.965",-54.354
"15",15,"-46.649",-45.79
"16",16,"-66.899",-66.517
"17",17,"-42.267",-40.271
"18",18,"-53.246",-52.702
"19",19,"-54.974",-54.583
"20",20,"-71.262",-70.804
