"","X","tss","roc"
"1",1,"0.753741666666667",0.948551041666667
"2",28,"LQH",2.5
"3",3,"-26.34",-9.063
"4",4,"-40.153",-17.337
"5",5,"-17.716",-10.49
"6",6,"-25.611",-17.605
"7",7,"-22.496",-12.735
"8",8,"-38.889",-30.585
"9",9,"-14.802",-5.858
"10",10,"-25.701",-17.501
"11",11,"-25.478",-16.244
"12",12,"-34.31",-22.593
"13",13,"-18.37",-2.357
"14",14,"-30.555",-13.65
"15",15,"-25.374",-11.65
"16",16,"-36.882",-16.675
"17",17,"-19.753",-2.847
"18",18,"-26.89",-8.669
"19",19,"-28.712",-4.044
"20",20,"-38.934",-20.868
