"","X","tss","roc"
"1",1,"0.783914457831325",0.942182530120482
"2",47,"LQHP",4
"3",3,"-1.733",19.664
"4",4,"-3.092",24.644
"5",5,"-1.441",19.582
"6",6,"-5.126",20.941
"7",7,"-3.201",22.857
"8",8,"-2.171",36.447
"9",9,"-2.536",9.385
"10",10,"-3.028",10.297
"11",11,"-4.214",7.716
"12",12,"-5.372",13.471
"13",13,"-13.344",-3.657
"14",14,"-2.736",18.424
"15",15,"-2.216",21.908
"16",16,"-4.989",17.941
"17",17,"-7.169",10.981
"18",18,"-1.186",33.683
"19",19,"-1.04",35.936
"20",20,"-2.837",35.635
