"","X","tss","roc"
"1",1,"0.721159292035398",0.927474778761062
"2",48,"LQHPT",4
"3",3,"-35.938",0.159
"4",4,"-42.562",15.787
"5",5,"-26.22",-0.595
"6",6,"-39.587",-15.668
"7",7,"-33.836",-10.353
"8",8,"-46.807",-19.199
"9",9,"-23.562",-6.466
"10",10,"-34.074",-9.044
"11",11,"-39.429",-16.462
"12",12,"-46.132",-5.395
"13",13,"-24.117",5.236
"14",14,"-22.531",20.508
"15",15,"-30.226",6.585
"16",16,"-39.191",13.844
"17",17,"-22.57",-3.887
"18",18,"-37.445",-15.906
"19",19,"-35.541",-7.021
"20",20,"-51.091",-14.835
