"","X","tss","roc"
"1",1,"0.654628155721589",0.915141604404247
"2",24,"LQHPT",2
"3",3,"-46.872",-33.099
"4",4,"-56.401",-43.738
"5",5,"-33.507",-17.849
"6",6,"-40.545",-23.902
"7",7,"-41.702",-25.482
"8",8,"-51.634",-40.936
"9",9,"-32.06",-15.486
"10",10,"-43.486",-29.757
"11",11,"-43.85",-29.918
"12",12,"-52.78",-42.286
"13",13,"-32.296",-11.683
"14",14,"-45.49",-31.171
"15",15,"-45.163",-32.151
"16",16,"-55.619",-44.375
"17",17,"-42.356",-24.154
"18",18,"-48.789",-34.631
"19",19,"-49.314",-31.878
"20",20,"-59.626",-48.693
