"","X","tss","roc"
"1",1,"0.707476923076923",0.905013942307692
"2",28,"LQH",2.5
"3",3,"-12.291",35.97
"4",4,"-20.628",28.768
"5",5,"-7.67",13.936
"6",6,"-10.958",21.091
"7",7,"-13.782",21.828
"8",8,"-14.033",39.864
"9",9,"-3.44",29.836
"10",10,"-5.37",41.584
"11",11,"-6.129",40.405
"12",12,"-9.656",57.083
"13",13,"-12.448",24.708
"14",14,"-15.204",27.911
"15",15,"-14.17",30.716
"16",16,"-23.478",25.082
"17",17,"-5.597",44.226
"18",18,"-9.076",54.926
"19",19,"-11.035",52.135
"20",20,"-17.966",56.196
