"","X","tss","roc"
"1",1,"0.656966666666667",0.896435416666667
"2",27,"H",2.5
"3",3,"-11.347",3.307
"4",4,"-15.237",-0.49
"5",5,"-9.726",-1.851
"6",6,"-10.084",1.191
"7",7,"-13.069",-4.117
"8",8,"-15.63",-4.954
"9",9,"-4.678",3.292
"10",10,"-5.378",8.352
"11",11,"-7.595",3.742
"12",12,"-8.995",3.973
"13",13,"-11.421",3.983
"14",14,"-13.238",2.405
"15",15,"-11.336",5.783
"16",16,"-14.393",2.508
"17",17,"-8.02",4.892
"18",18,"-9.152",7.764
"19",19,"-11.034",5.292
"20",20,"-14.915",3.712
