"","X","tss","roc"
"1",1,"0.8242",0.945413636363636
"2",8,"LQ",1
"3",3,"-27.436",-8.819
"4",4,"-50.966",-34.572
"5",5,"-17.676",2.323
"6",6,"-19.388",10.123
"7",7,"-25.108",3.656
"8",81,"-30.654",8.765
"9",9,"-7.791",4.48
"10",10,"-12.715",4.659
"11",11,"-13.29",4.004
"12",12,"-22.597",-0.717
"13",13,"-23.202",-13.187
"14",14,"-50.753",-38.567
"15",15,"-34.031",-23.129
"16",16,"-54.419",-39.052
"17",17,"-17.829",2.458
"18",18,"-28.243",-6.481
"19",19,"-26.895",-5.936
"20",20,"-49.608",-27.022
