"","X","tss","roc"
"1",1,"0.662811111111111",0.890242222222222
"2",14,"LQ",1.5
"3",3,"-45.836",-41.324
"4",4,"-53.821",-49.791
"5",5,"-13.347",-7.695
"6",6,"-33.28",-30.32
"7",7,"-29.674",-26.708
"8",8,"-39.149",-33.715
"9",9,"-28.474",-27.334
"10",10,"-41.94",-40.728
"11",11,"-41.865",-40.227
"12",12,"-49.728",-47.279
"13",13,"-47.207",-45.019
"14",141,"-43.489",-41.466
"15",15,"-52.028",-50.199
"16",16,"-59.589",-57.15
"17",17,"-44.185",-42.89
"18",18,"-48.647",-46.742
"19",19,"-50.061",-47.833
"20",20,"-58.076",-55.219
