"","X","tss","roc"
"1",1,"0.699078787878788",0.907898484848485
"2",32,"LQ",3
"3",3,"-55.301",-54.879
"4",4,"-70.969",-70.852
"5",5,"-36.777",-36.614
"6",6,"-44.43",-43.845
"7",7,"-46.876",-46.139
"8",8,"-66.745",-66.593
"9",9,"-35.806",-35.385
"10",10,"-43.201",-42.628
"11",11,"-48.654",-48.491
"12",12,"-64.416",-64.334
"13",13,"-46.794",-43.962
"14",14,"-66.686",-66.639
"15",15,"-61.175",-61.034
"16",16,"-75.146",-75.099
"17",17,"-49.626",-49.216
"18",18,"-63.246",-63.223
"19",19,"-65.106",-65.071
"20",20,"-75.579",-75.568
