"","X","tss","roc"
"1",1,"0.759868965517241",0.922158620689655
"2",46,"LQH",4
"3",3,"-13.312",34.924
"4",4,"-15.377",36.303
"5",5,"-8.371",22.131
"6",6,"-10.522",31.375
"7",7,"-11.522",34.128
"8",8,"-16.56",45.791
"9",9,"-4.835",20.705
"10",10,"-7.705",29.773
"11",11,"-8.866",30.992
"12",12,"-12.271",39.988
"13",13,"-11.828",14.54
"14",14,"-17.625",15.099
"15",15,"-17.379",13.99
"16",16,"-17.276",23.335
"17",17,"-9.507",31.367
"18",18,"-14.265",35.376
"19",19,"-14.734",31.773
"20",20,"-18.453",34.969
