"","X","tss","roc"
"1",1,"0.718714285714286",0.928105714285714
"2",34,"LQH",3
"3",3,"-12.807",31.844
"4",4,"-14.756",54.91
"5",5,"-7.542",17.871
"6",6,"-9.282",34.202
"7",7,"-11.19",36.427
"8",8,"-15.339",55.019
"9",9,"-3.96",21.886
"10",10,"-7.124",31.793
"11",11,"-7.649",29.669
"12",12,"-10.994",48.879
"13",13,"-11.921",9.088
"14",14,"-17.839",26.62
"15",15,"-15.505",13.32
"16",16,"-17.047",59.966
"17",17,"-6.93",32.306
"18",18,"-11.431",38.006
"19",19,"-10.991",42.614
"20",20,"-14.098",75.986
