"","X","tss","roc"
"1",1,"0.7943",0.9504890625
"2",26,"LQ",2.5
"3",3,"-3.29",222.182
"4",4,"-6.917",279.418
"5",5,"-1.234",136.28
"6",6,"-2.166",186.996
"7",7,"-1.909",186.152
"8",8,"-2.269",308.466
"9",9,"-4.024",80.373
"10",10,"-5.338",148.344
"11",11,"-4.42",158.426
"12",12,"-4.758",276.305
"13",13,"-7.027",72.649
"14",14,"-5.867",215.075
"15",15,"-6.359",168.103
"16",16,"-10.052",283.317
"17",17,"-3.451",156.627
"18",18,"-3.833",226.691
"19",19,"-4.303",233.74
"20",20,"-6.021",318.951
