"","X","tss","roc"
"1",1,"0.763045945945946",0.926991891891892
"2",7,"L",1
"3",3,"-4.668",56.828
"4",4,"-2.436",93.193
"5",5,"-7.091",9.503
"6",6,"-2.93",26.085
"7",71,"-3.545",31.646
"8",8,"-2.871",52.315
"9",9,"-0.728",24.267
"10",10,"-1.163",39.116
"11",11,"-2.056",46.559
"12",12,"-1.528",75.11
"13",13,"-3.267",38.729
"14",14,"-2.727",66.327
"15",15,"-1.479",61.569
"16",16,"-2.426",96.571
"17",17,"-1.676",40.694
"18",18,"-1.364",69.956
"19",19,"-1.506",64.86
"20",20,"-1.479",112.415
