"","X","tss","roc"
"1",1,"0.672243478260869",0.910278260869565
"2",38,"LQ",3.5
"3",3,"-12.446",18.873
"4",4,"-13.84",33.203
"5",5,"-9.277",10.506
"6",6,"-9.777",20.276
"7",7,"-10.024",23.209
"8",8,"-12.72",31.203
"9",9,"-5.95",14.433
"10",10,"-7.654",22.183
"11",11,"-8.384",22.508
"12",12,"-11.11",31.635
"13",13,"-14.628",4.783
"14",14,"-16.318",21.08
"15",15,"-12.301",16.062
"16",16,"-15.967",33.554
"17",17,"-9.251",19.397
"18",18,"-11.513",26.589
"19",19,"-12.259",28.909
"20",20,"-15.692",47.929
