"","X","tss","roc"
"1",1,"0.726328571428571",0.920401785714286
"2",26,"LQ",2.5
"3",3,"-13.843",9.375
"4",4,"-20.567",8.409
"5",5,"-9.298",-0.109
"6",6,"-13.859",1.773
"7",7,"-14.984",2.937
"8",8,"-19.397",3.688
"9",9,"-5.994",7.86
"10",10,"-7.379",12.572
"11",11,"-9.927",9.141
"12",12,"-14.135",13.862
"13",13,"-8.895",9.876
"14",14,"-18.463",4.426
"15",15,"-12.028",8.037
"16",16,"-18.866",12.912
"17",17,"-9.975",9.314
"18",18,"-13.923",9.821
"19",19,"-14.305",8.244
"20",20,"-22.072",7.478
