"","X","tss","roc"
"1",1,"0.767488235294118",0.927769117647059
"2",34,"LQH",3
"3",3,"-3.118",105.819
"4",4,"-2.545",177.026
"5",5,"-2.736",44.664
"6",6,"-2.377",82.683
"7",7,"-4.037",84.632
"8",8,"-2.383",186.772
"9",9,"-2.343",33.328
"10",10,"-1.139",63.977
"11",11,"-0.816",68.205
"12",12,"-2.47",146.573
"13",13,"-4.211",20.366
"14",14,"-3.332",96.709
"15",15,"-3.499",62.936
"16",16,"-3.222",170.345
"17",17,"-0.839",68.859
"18",18,"-0.954",119.006
"19",19,"-0.989",130.864
"20",20,"-1.325",215.091
