"","X","tss","roc"
"1",1,"0.764233333333333",0.931855208333333
"2",30,"LQHPT",2.5
"3",3,"-21.892",36.887
"4",4,"-23.886",58.742
"5",5,"-14.082",16.348
"6",6,"-16.502",28.559
"7",7,"-25.546",14.341
"8",8,"-19.873",72.163
"9",9,"-13.718",13.224
"10",10,"-15.181",21.354
"11",11,"-13.996",20.268
"12",12,"-14.205",46.907
"13",13,"-34.109",-17.57
"14",14,"-26.04",31.029
"15",15,"-30.43",1.951
"16",16,"-24.929",41.777
"17",17,"-11.662",27.121
"18",18,"-14.668",33.121
"19",19,"-14.668",32.3
"20",20,"-16.403",83.189
