"","X","tss","roc"
"1",1,"0.956238461538462",0.996519230769231
"2",48,"LQHPT",4
"3",3,"-2.063",71.746
"4",4,"-5.317",96.032
"5",5,"-18.889",10.397
"6",6,"-21.19",43.175
"7",7,"-18.175",25.476
"8",8,"-41.905",23.095
"9",9,"-6.508",31.667
"10",10,"-12.46",55.079
"11",11,"-12.302",40.159
"12",12,"-16.746",69.841
"13",13,"-3.571",76.587
"14",14,"-3.016",111.746
"15",15,"-9.762",50.397
"16",16,"-2.46",150.159
"17",17,"-5.397",56.349
"18",18,"-5.159",101.746
"19",19,"-6.508",71.111
"20",20,"-5.714",111.825
