"","X","tss","roc"
"1",1,"0.801465217391304",0.943880434782609
"2",36,"LQHPT",3
"3",3,"-77.587",-77.316
"4",4,"-94.381",-93.887
"5",5,"-56.129",-55.985
"6",6,"-62.894",-62.432
"7",7,"-66.507",-66.269
"8",8,"-82.346",-82.139
"9",9,"-49.077",-48.997
"10",10,"-61.573",-61.573
"11",11,"-73.002",-73.002
"12",12,"-82.569",-82.569
"13",13,"-61.016",-60.713
"14",14,"-83.19",-82.33
"15",15,"-79.64",-79.465
"16",16,"-94.938",-94.842
"17",17,"-65.25",-65.123
"18",18,"-83.286",-83.031
"19",19,"-83.174",-83.063
"20",20,"-94.572",-94.572
