"","X","tss","roc"
"1",1,"0.9982",0.99919
"2",2,"LQ",0.5
"3",3,"-89.013",-84.305
"4",4,"-99.776",-99.776
"5",5,"-38.117",84.753
"6",6,"-37.892",131.839
"7",7,"-95.516",58.296
"8",8,"-82.735",109.417
"9",9,"-42.825",-15.919
"10",10,"-45.74",19.058
"11",11,"-55.83",30.493
"12",12,"-95.291",-5.83
"13",13,"-99.552",-97.758
"14",14,"-100",-99.103
"15",15,"-100",-98.879
"16",16,"-100",-97.085
"17",17,"-97.085",-94.395
"18",18,"-97.309",-84.753
"19",19,"-99.327",-82.063
"20",20,"-100",-71.525
