"","X","tss","roc"
"1",1,"0.9326",0.99359
"2",16,"LQH",1.5
"3",3,"-50.548",-29.666
"4",4,"-77.519",-57.956
"5",5,"-20.378",13.231
"6",6,"-22.398",28.864
"7",7,"-44.783",-3.669
"8",8,"-49.051",25.207
"9",9,"-15.04",-0.866
"10",10,"-19.232",14.244
"11",11,"-20.315",1.745
"12",12,"-36.215",-10.555
"13",13,"-40.648",-30.806
"14",14,"-70.117",-57.402
"15",15,"-58.122",-51.803
"16",161,"-81.163",-66.951
"17",17,"-32.361",-8.32
"18",18,"-50.777",-24.889
"19",19,"-48.497",-17.607
"20",20,"-77.991",-44.426
