"","X","tss","roc"
"1",1,"0.8955",0.974096
"2",28,"LQH",2.5
"3",3,"-16.668",53.251
"4",4,"-26.975",83.665
"5",5,"-17.292",12.219
"6",6,"-17.002",36.679
"7",7,"-12.273",44.224
"8",8,"-23.031",61.128
"9",9,"-8.845",20.774
"10",10,"-12.144",39.258
"11",11,"-12.993",36.776
"12",12,"-20.666",63.89
"13",13,"-14.938",17.657
"14",14,"-21.634",51.66
"15",15,"-19.248",41.053
"16",16,"-26.867",63.127
"17",17,"-15.895",28.984
"18",18,"-16.593",55.336
"19",19,"-17.109",52.961
"20",20,"-24.385",116.4
