"","X","tss","roc"
"1",1,"0.7746",0.925906
"2",20,"LQ",2
"3",3,"-40.058",-39.014
"4",4,"-62.765",-62.303
"5",5,"-31.87",-31.443
"6",6,"-35.618",-34.685
"7",7,"-37.543",-36.61
"8",8,"-56.443",-56.331
"9",9,"-30.399",-30.21
"10",10,"-37.637",-37.355
"11",11,"-42.651",-42.479
"12",12,"-57.589",-57.529
"13",13,"-24.221",-22.844
"14",14,"-43.147",-41.496
"15",15,"-37.449",-36.456
"16",16,"-67.864",-67.779
"17",17,"-35.815",-35.618
"18",18,"-48.238",-48.126
"19",19,"-49.837",-49.675
"20",201,"-68.326",-68.267
