"","X","tss","roc"
"1",1,"0.701365217391304",0.887826086956522
"2",36,"LQHPT",3
"3",3,"-23.225",-13.831
"4",4,"-39.206",-29.724
"5",5,"-13.793",-5.092
"6",6,"-18.38",-4.357
"7",7,"-22.532",-10.634
"8",8,"-30.626",-16.476
"9",9,"-10.795",-6
"10",10,"-17.346",-8.758
"11",11,"-20.6",-16.367
"12",12,"-29.871",-23.758
"13",13,"-14.861",-8.78
"14",14,"-29.696",-20.429
"15",15,"-24.995",-17.233
"16",16,"-39.534",-28.03
"17",17,"-17.706",-9.72
"18",18,"-26.406",-18.063
"19",19,"-27.638",-17.74
"20",20,"-42.793",-31.473
