"","X","tss","roc"
"1",1,"0.7699",0.94238
"2",46,"LQH",4
"3",3,"-15.359",32.534
"4",4,"-16.461",52.057
"5",5,"-9.75",10.665
"6",6,"-9.161",18.273
"7",7,"-15.709",13.411
"8",8,"-18.288",24.756
"9",9,"-5.948",13.331
"10",10,"-7.657",18.094
"11",11,"-13.635",16.009
"12",12,"-16.662",24.786
"13",13,"-16.719",10.357
"14",14,"-20.726",21.934
"15",15,"-17.885",21.505
"16",16,"-22.219",46.337
"17",17,"-8.151",30.047
"18",18,"-14.296",33.53
"19",19,"-12.519",33.978
"20",20,"-21.596",46.42
