"","X","tss","roc"
"1",1,"0.597737931034483",0.861515517241379
"2",44,"LQ",4
"3",3,"-46.196",22.394
"4",4,"-73.452",22.333
"5",5,"-10.318",29.827
"6",6,"-30.588",1.828
"7",7,"-34.068",11.289
"8",8,"-42.148",56.558
"9",9,"-12.382",5.666
"10",10,"-24.091",4.241
"11",11,"-26.207",-4.914
"12",12,"-45.357",-1.994
"13",13,"-37.015",-16.597
"14",14,"-60.266",4.04
"15",15,"-47.648",-4.897
"16",16,"-72.726",29.232
"17",17,"-30.824",1.382
"18",18,"-42.567",11.953
"19",19,"-48.522",5.177
"20",20,"-73.461",68.075
