"","X","tss","roc"
"1",1,"0.936721739130435",0.991217391304348
"2",14,"LQ",1.5
"3",3,"-60.199",-15.104
"4",4,"-61.427",27.054
"5",5,"-25.56",61.992
"6",6,"-25.842",88.166
"7",7,"-44.149",84.299
"8",8,"-62.158",115.834
"9",9,"-33.145",-2.772
"10",10,"-44.564",-9.61
"11",11,"-48.066",-8.68
"12",12,"-68.448",-12.963
"13",13,"-47.27",-13.477
"14",141,"-48.365",20.73
"15",15,"-62.506",-13.378
"16",16,"-63.768",12.465
"17",17,"-44.929",-1.759
"18",18,"-59.386",4.481
"19",19,"-65.212",1.842
"20",20,"-74.174",30.191
