"","X","tss","roc"
"1",1,"0.790833333333333",0.916920833333333
"2",7,"L",1
"3",3,"-31.181",32.838
"4",4,"-23.995",85.432
"5",5,"-15.225",18.356
"6",6,"-30.828",-2.363
"7",71,"-26.443",20.853
"8",8,"-22.753",70.536
"9",9,"-5.079",31.389
"10",10,"-4.251",62.948
"11",11,"-3.52",70.999
"12",12,"-2.424",120.487
"13",13,"-40.901",-14.336
"14",14,"-18.21",57.515
"15",15,"-19.05",35.664
"16",16,"-24.434",56.078
"17",17,"-5.116",69.318
"18",18,"-8.965",100.378
"19",19,"-5.968",122.132
"20",20,"-17.393",142.655
