"","X","tss","roc"
"1",1,"0.797670588235294",0.9509375
"2",29,"LQHP",2.5
"3",3,"-19.374",11.927
"4",4,"-26.505",7.595
"5",5,"-12.858",0.072
"6",6,"-15.284",2.113
"7",7,"-17.606",4.631
"8",8,"-22.867",2.526
"9",9,"-6.792",6.387
"10",10,"-9.816",17.552
"11",11,"-11.964",7.034
"12",12,"-17.479",10.639
"13",13,"-12.402",15.167
"14",14,"-23.145",7.454
"15",15,"-17.945",21.125
"16",16,"-30.185",14.566
"17",17,"-13.192",8.031
"18",18,"-18.949",11.042
"19",19,"-19.71",7.984
"20",20,"-31.76",5.202
