"","X","tss","roc"
"1",1,"0.724841935483871",0.92051935483871
"2",28,"LQH",2.5
"3",3,"-21.224",21.238
"4",4,"-32.08",27.984
"5",5,"-8.164",13.018
"6",6,"-13.325",17.628
"7",7,"-15.798",17.818
"8",8,"-21.43",35.446
"9",9,"-8.191",9.189
"10",10,"-14.476",13.371
"11",11,"-14.174",12.006
"12",12,"-22.142",21.754
"13",13,"-13.553",7.246
"14",14,"-24.259",17.84
"15",15,"-19.322",15.621
"16",16,"-34.78",29.891
"17",17,"-11.776",15.958
"18",18,"-17.438",25.056
"19",19,"-18.254",23.622
"20",20,"-30.82",50.045
