"","X","tss","roc"
"1",1,"0.522714814814815",0.790307407407407
"2",38,"LQ",3.5
"3",3,"-8.791",15.808
"4",4,"-12.35",23.726
"5",5,"-2.711",16.886
"6",6,"-2.729",21.591
"7",7,"-4.01",22.096
"8",8,"-9.449",22.459
"9",9,"-3.209",14.426
"10",10,"-5.282",15.694
"11",11,"-5.668",17.537
"12",12,"-10.052",21.273
"13",13,"-9.098",6.273
"14",14,"-12.234",16.413
"15",15,"-12.324",11.227
"16",16,"-18.464",12.37
"17",17,"-5.206",15.472
"18",18,"-8.532",17.598
"19",19,"-7.568",20.681
"20",20,"-15.013",19.571
