"","X","tss","roc"
"1",1,"0.5949",0.837075
"2",35,"LQHP",3
"3",3,"-11.429",37.788
"4",4,"-15.586",53.332
"5",5,"-4.204",21.771
"6",6,"-6.382",30.462
"7",7,"-8.427",28.963
"8",8,"-11.259",54.5
"9",9,"-4.613",16.306
"10",10,"-6.978",25.134
"11",11,"-7.501",22.341
"12",12,"-11.106",40.879
"13",13,"-7.634",13.549
"14",14,"-11.446",32.307
"15",15,"-8.408",31.302
"16",16,"-14.367",56.64
"17",17,"-6.527",28.64
"18",18,"-10.736",39.86
"19",19,"-10.18",41.329
"20",20,"-16.323",66.091
