"","X","tss","roc"
"1",1,"0.732476744186047",0.907586046511628
"2",34,"LQH",3
"3",3,"-8.705",26.865
"4",4,"-11.423",43.263
"5",5,"-6.249",4.89
"6",6,"-8.783",11.585
"7",7,"-6.1",16.001
"8",8,"-11.076",24.636
"9",9,"-5.386",8.754
"10",10,"-8.592",12.583
"11",11,"-7.841",14.034
"12",12,"-11.699",25.103
"13",13,"-9.094",4.926
"14",14,"-10.347",24.508
"15",15,"-10.269",10.389
"16",16,"-8.747",33.128
"17",17,"-6.688",17.389
"18",18,"-10.75",27.799
"19",19,"-10.071",27.806
"20",20,"-11.819",51.769
