"","X","tss","roc"
"1",1,"0.96849898989899",0.996614141414141
"2",34,"LQH",3
"3",3,"-0.647",56.496
"4",4,"-0.353",87.831
"5",5,"-0.882",28.101
"6",6,"-0.823",34.685
"7",7,"0",45.797
"8",8,"-0.294",58.142
"9",9,"-0.294",28.219
"10",10,"-0.353",45.15
"11",11,"-0.353",49.912
"12",12,"-0.235",81.775
"13",13,"-0.705",28.748
"14",14,"-0.47",75.426
"15",15,"-0.176",58.848
"16",16,"-0.176",91.417
"17",17,"-0.176",40.447
"18",18,"-0.353",68.665
"19",19,"-0.412",70.253
"20",20,"-0.176",100.647
