"","X","tss","roc"
"1",1,"0.699970212765958",0.896952127659574
"2",42,"LQHPT",3.5
"3",3,"-9.935",36.229
"4",4,"-16.693",40.47
"5",5,"-3.869",22.052
"6",6,"-6.41",28.184
"7",7,"-6.721",30.262
"8",8,"-8.403",50.735
"9",9,"-4.986",15.92
"10",10,"-8.62",19.22
"11",11,"-7.8",17.857
"12",12,"-14.492",29.428
"13",13,"-6.183",15.529
"14",14,"-10.501",27.316
"15",15,"-7.286",22.627
"16",16,"-13.762",41.074
"17",17,"-6.626",26.459
"18",18,"-11.669",34.664
"19",19,"-10.09",35.508
"20",20,"-16.213",46.145
