"","X","tss","roc"
"1",1,"0.817088372093023",0.935079069767442
"2",30,"LQHPT",2.5
"3",3,"-26.592",26.14
"4",4,"-29.076",54.712
"5",5,"-10.295",11.217
"6",6,"-17.68",16.766
"7",7,"-22.827",16.928
"8",8,"-19.933",50.307
"9",9,"-15.563",0.29
"10",10,"-23.681",4.089
"11",11,"-15.042",14.052
"12",12,"-20.787",37.758
"13",13,"-28.504",-7.009
"14",14,"-22.588",30.647
"15",15,"-31.228",2.834
"16",16,"-32.423",49.991
"17",17,"-11.917",28.12
"18",18,"-15.546",46.952
"19",19,"-17.27",42.453
"20",20,"-25.423",90.977
