"","X","tss","roc"
"1",1,"0.774839344262295",0.945389344262295
"2",46,"LQH",4
"3",3,"-29.474",-5.106
"4",4,"-42.201",-1.718
"5",5,"-21.692",-7.545
"6",6,"-27.563",-12.934
"7",7,"-27.311",-9.092
"8",8,"-38.783",-14.868
"9",9,"-14.145",-3.61
"10",10,"-17.603",1.649
"11",11,"-22.01",-1.92
"12",12,"-29.599",-6.186
"13",13,"-17.102",19.689
"14",14,"-36.06",11.581
"15",15,"-24.022",17.13
"16",16,"-41.585",12.503
"17",17,"-22.549",-3.39
"18",18,"-29.897",2.765
"19",19,"-32",-0.917
"20",20,"-46.736",5.38
