"","X","tss","roc"
"1",1,"0.65102972972973",0.889951351351351
"2",44,"LQ",4
"3",3,"-5.731",120.449
"4",4,"-8.879",154.158
"5",5,"-3.058",78.898
"6",6,"-5.821",72.049
"7",7,"-7.859",76.77
"8",8,"-7.627",99.928
"9",9,"-10.354",26.779
"10",10,"-14.449",38.564
"11",11,"-16.282",34.683
"12",12,"-20.154",74.294
"13",13,"-11.445",46.057
"14",14,"-6.366",106.974
"15",15,"-10.774",69.653
"16",16,"-12.867",110.309
"17",17,"-7.895",65.603
"18",18,"-8.861",100.93
"19",19,"-7.546",94.984
"20",20,"-9.558",158.298
