"","X","tss","roc"
"1",1,"0.735177005347594",0.930423262032086
"2",34,"LQH",3
"3",3,"-26.098",-0.098
"4",4,"-37.554",-1.836
"5",5,"-15.231",1.914
"6",6,"-21.469",8.616
"7",7,"-24.492",1.519
"8",8,"-33.33",8.289
"9",9,"-13.411",0.012
"10",10,"-20.87",1.724
"11",11,"-20.05",0.559
"12",12,"-32.404",-2.486
"13",13,"-16.812",-3.171
"14",14,"-31.853",-9.195
"15",15,"-25.831",-8.333
"16",16,"-40.099",-9.423
"17",17,"-19.013",3.466
"18",18,"-27.831",0.329
"19",19,"-28.268",0.483
"20",20,"-41.851",1.038
