"","X","tss","roc"
"1",1,"0.950598591549296",0.995570422535211
"2",29,"LQHP",2.5
"3",3,"-43.376",-17.06
"4",4,"-78.512",-72.874
"5",5,"-22.94",3.485
"6",6,"-43.63",-7.659
"7",7,"-47.985",-16.975
"8",8,"-50.841",-12.039
"9",9,"-15.499",0.956
"10",10,"-19.407",16.975
"11",11,"-19.298",13.067
"12",12,"-37.217",3.823
"13",13,"-27.925",2.734
"14",14,"-54.628",-35.838
"15",15,"-41.162",-22.057
"16",16,"-77.471",-68.131
"17",17,"-26.824",11.397
"18",18,"-38.657",-3.013
"19",19,"-40.593",-5.796
"20",20,"-72.571",-60.109
