"","X","tss","roc"
"1",1,"0.943403614457831",0.994913253012048
"2",21,"H",2
"3",3,"-29.978",28.697
"4",4,"-51.158",2.906
"5",5,"-23.185",6.347
"6",6,"-34.421",-2.316
"7",7,"-35.568",3.853
"8",8,"-38.664",18.129
"9",9,"-14.933",5.033
"10",10,"-18.753",17.829
"11",11,"-19.588",18.552
"12",12,"-30.245",19.243
"13",13,"-26.459",26.459
"14",14,"-35.468",35.134
"15",15,"-26.169",35.813
"16",16,"-46.626",16.715
"17",17,"-23.731",24.521
"18",18,"-25.479",39.889
"19",19,"-26.971",46.637
"20",20,"-42.004",13.151
