"","X","tss","roc"
"1",1,"0.954490721649485",0.997028865979381
"2",32,"LQ",3
"3",3,"-38.844",-22.602
"4",4,"-60.395",-45.049
"5",5,"-26.325",0.607
"6",6,"-31.814",6.649
"7",7,"-45.738",-8.452
"8",8,"-43.845",27.847
"9",9,"-21.071",-10.01
"10",10,"-25.818",-10.653
"11",11,"-26.633",-11.894
"12",12,"-37.186",-15.101
"13",13,"-38.781",-28.336
"14",14,"-52.333",-38.21
"15",15,"-50.784",-40.248
"16",16,"-59.815",-47.685
"17",17,"-31.751",-9.267
"18",18,"-42.658",-16.143
"19",19,"-40.828",-11.885
"20",20,"-62.007",-27.33
