"","X","tss","roc"
"1",1,"0.611589641434263",0.893773705179283
"2",24,"LQHPT",2
"3",3,"-6.044",51.853
"4",4,"-8.226",74.46
"5",5,"-3.611",15.579
"6",6,"-3.406",42.579
"7",7,"-5.156",34.825
"8",8,"-4.153",68.506
"9",9,"-3.707",17.495
"10",10,"-4.725",36.886
"11",11,"-4.84",29.959
"12",12,"-5.377",66.479
"13",13,"-7.484",12.188
"14",14,"-7.348",57.857
"15",15,"-7.153",33.064
"16",16,"-7.494",76.34
"17",17,"-4.319",29.934
"18",18,"-5.437",49.887
"19",19,"-5.768",49.25
"20",20,"-5.206",101.058
